,Unnamed: 0,Unnamed: 0.1,Building,ClientMacAddr,Level,lat,lng,localtime,datetime,waiting_time
0,23,110,TPS2,c0:8c:71:70:f4:85,Level 3,-22.81436139,-43.24744435,49:43.5,49:43.5,32.92326667
1,27,126,TPS2,48:c7:96:88:7b:e9,Level 3,-22.81442121,-43.24755249,49:43.9,49:43.9,111.4563333
2,35,170,TPS2,60:ab:67:93:af:30,Level 3,-22.81445641,-43.24744025,49:45.6,49:45.6,0
3,51,254,TPS2,10:f1:f2:9a:67:5e,Level 3,-22.8143492,-43.24750545,49:49.2,49:49.2,39.33213333
4,59,302,TPS2,24:18:1d:c9:46:86,Level 3,-22.81421478,-43.24734178,49:50.7,49:50.7,268.4409667
7,128,652,TPS2,70:fd:46:d4:da:aa,Level 3,-22.81433736,-43.24740665,50:02.7,50:02.7,133.36615
9,130,654,TPS2,64:c2:de:12:8c:d7,Level 3,-22.81449595,-43.24747774,50:02.8,50:02.8,46.3961
10,144,686,TPS2,80:65:6d:67:03:a7,Level 3,-22.81441426,-43.24739112,50:03.2,50:03.2,8.1628
11,189,845,TPS2,dc:44:b6:bd:4c:ab,Level 3,-22.81439943,-43.24716452,50:10.3,50:10.3,151.0399333
13,318,1416,TPS2,50:76:af:be:ee:89,Level 3,-22.81448207,-43.2474784,50:27.0,50:27.0,29.5087
15,342,1544,TPS2,88:79:7e:8f:df:bf,Level 3,-22.81435875,-43.24731503,50:30.9,50:30.9,5.47785
19,431,1948,TPS2,14:96:e5:2b:6c:c8,Level 3,-22.81444921,-43.2472798,50:45.0,50:45.0,142.3455
22,553,2480,TPS2,fc:64:3a:c7:7f:5e,Level 3,-22.81416318,-43.24722102,51:03.4,51:03.4,115.5451833
23,598,2678,TPS2,70:fd:46:99:9c:e0,Level 3,-22.81446687,-43.24714935,51:10.6,51:10.6,0
24,628,2816,TPS2,28:83:35:3c:ac:55,Level 3,-22.81432268,-43.24737806,51:13.7,51:13.7,8.297483333
27,662,2928,TPS2,38:9a:f6:28:0d:d9,Level 3,-22.81415952,-43.24714902,51:17.1,51:17.1,34.81201667
28,698,3088,TPS2,8c:45:00:ab:1e:5a,Level 3,-22.81443914,-43.24751457,51:22.9,51:22.9,148.51695
38,850,3812,TPS2,4c:66:41:01:dc:72,Level 3,-22.81439622,-43.24755344,51:44.5,51:44.5,0
39,876,3906,TPS2,dc:bf:e9:01:43:8c,Level 3,-22.81442746,-43.24746121,51:48.2,51:48.2,45.23261667
44,935,4188,TPS2,48:51:b7:8e:18:31,Level 3,-22.81434024,-43.24755208,51:56.4,51:56.4,6.277416667
47,976,4364,TPS2,bc:fe:d9:e5:9a:be,Level 3,-22.81424992,-43.24731313,52:02.7,52:02.7,46.36438333
50,1081,4767,TPS2,d0:81:7a:50:fb:52,Level 3,-22.81444079,-43.24730636,52:16.0,52:16.0,89.1518
65,1231,5488,TPS2,f0:d7:aa:13:16:9f,Level 3,-22.81437196,-43.24712184,52:36.1,52:36.1,44.08801667
67,1280,5724,TPS2,d4:4d:a4:13:32:3d,Level 3,-22.81437013,-43.24751844,52:43.1,52:43.1,128.3062833
76,1398,6230,TPS2,00:16:98:bf:f9:80,Level 3,-22.81445228,-43.24717485,53:01.9,53:01.9,199.1277167
77,1411,6286,TPS2,d8:1c:79:5e:ea:a6,Level 3,-22.81415689,-43.24745877,53:03.8,53:03.8,166.80305
79,1435,6388,TPS2,08:8c:2c:28:01:e3,Level 3,-22.81448951,-43.24717786,53:07.6,53:07.6,0
92,1560,7010,TPS2,7c:8b:b5:3a:90:dd,Level 3,-22.81448031,-43.2471879,53:26.7,53:26.7,121.5515167
98,1665,7512,TPS2,ec:aa:25:2a:a7:d9,Level 3,-22.81428606,-43.24728794,53:41.4,53:41.4,0
105,1821,8234,TPS2,30:cb:f8:65:be:2b,Level 3,-22.81448956,-43.24753423,54:03.2,54:03.2,28.83005
107,1857,8363,TPS2,e0:33:8e:af:f6:cd,Level 3,-22.81444122,-43.24755643,54:08.7,54:08.7,4.110983333
109,1899,8495,TPS2,9c:d9:17:78:8a:d2,Level 3,-22.81450014,-43.24754402,54:10.9,54:10.9,0
115,2010,9024,TPS2,7c:8b:b5:45:84:67,Level 3,-22.81416928,-43.2472081,54:28.6,54:28.6,37.02221667
123,2146,9622,TPS2,84:10:0d:f7:94:f7,Level 3,-22.814504,-43.24755984,54:46.4,54:46.4,122.4222333
127,2180,9786,TPS2,40:b8:37:c4:19:b0,Level 3,-22.814296,-43.247215,54:50.9,54:50.9,64.96805
132,2261,10132,TPS2,d4:63:c6:7d:08:4c,Level 3,-22.81434523,-43.24745514,55:02.4,55:02.4,6.662883333
134,2286,10220,TPS2,38:80:df:2c:0c:64,Level 3,-22.81447873,-43.2471936,55:04.7,55:04.7,151.9089667
135,2295,10272,TPS2,7c:8b:b5:a5:a6:d5,Level 3,-22.8142281,-43.24722723,55:07.0,55:07.0,42.49738333
136,2329,10434,TPS2,38:80:df:74:e1:81,Level 3,-22.81428652,-43.24711963,55:11.5,55:11.5,19869.77735
151,2619,11670,TPS2,88:75:98:b3:cf:2d,Level 3,-22.81427288,-43.24712494,55:52.8,55:52.8,1.67E-05
163,2905,12886,TPS2,8c:f1:12:7d:bc:c2,Level 3,-22.81441108,-43.24713526,56:31.8,56:31.8,0
166,2939,13036,TPS2,da:a1:19:d4:b3:67,Level 3,-22.81446515,-43.24714217,56:36.8,56:36.8,0
167,2976,13184,TPS2,c0:a6:00:f3:71:42,Level 3,-22.81425228,-43.2472895,56:40.6,56:40.6,1.48065
171,3063,13584,TPS2,50:92:b9:d8:b0:22,Level 3,-22.81422622,-43.24724741,56:54.4,56:54.4,7.504733333
172,3067,13602,TPS2,b8:c3:85:c7:64:d2,Level 3,-22.81420062,-43.24750851,56:54.6,56:54.6,0
176,3160,14026,TPS2,20:f4:52:0c:b7:02,Level 3,-22.81435793,-43.24751533,57:09.3,57:09.3,60.45663333
179,3240,14424,TPS2,58:d9:c3:ce:cb:37,Level 3,-22.81416353,-43.24738064,57:20.3,57:20.3,0
188,3488,15605,TPS2,d4:11:a3:d5:f0:05,Level 3,-22.81434879,-43.24737117,57:57.1,57:57.1,15.93373333
194,3593,15981,TPS2,fc:64:3a:92:8f:ac,Level 3,-22.81448887,-43.24738175,58:09.6,58:09.6,51.0542
201,3790,16856,TPS2,10:7b:44:01:62:81,Level 3,-22.81433459,-43.24748667,58:32.3,58:32.3,22.69151667
207,4019,17844,TPS2,a8:db:03:5e:de:ef,Level 3,-22.81429895,-43.24742561,59:03.5,59:03.5,12.08088333
209,4026,17880,TPS2,cc:fd:17:5a:0e:17,Level 3,-22.81448731,-43.24711971,59:04.9,59:04.9,17.39508333
213,4132,18340,TPS2,68:5a:cf:88:b9:76,Level 3,-22.81435431,-43.24741357,59:20.6,59:20.6,4.45305
214,4162,18450,TPS2,bc:a5:8b:b1:43:f3,Level 3,-22.8142603,-43.24725491,59:24.1,59:24.1,35.0084
216,4204,18632,TPS2,88:b4:a6:f1:12:f1,Level 3,-22.81447238,-43.24748664,59:30.1,59:30.1,80.52006667
221,4254,18882,TPS2,58:d9:c3:3f:a5:5a,Level 3,-22.8144414,-43.24713647,59:37.8,59:37.8,20.40768333
228,4407,19640,TPS2,70:fd:46:2b:a4:88,Level 3,-22.81425145,-43.24729921,00:06.4,00:06.4,120.2820667
244,4608,20546,TPS2,18:01:f1:91:34:86,Level 3,-22.81447871,-43.24719965,00:42.1,00:42.1,0.40755
250,4896,21784,TPS2,a8:db:03:9d:0b:7b,Level 3,-22.81447682,-43.24754964,01:35.0,01:35.0,92.02588333
253,4911,21846,TPS2,b8:94:36:2a:f6:5d,Level 3,-22.81449997,-43.24717629,01:35.8,01:35.8,10.9569
258,4955,22022,TPS2,ec:89:14:55:8a:5d,Level 3,-22.81419592,-43.24742638,01:42.7,01:42.7,0.51785
263,5088,22658,TPS2,a4:50:46:3b:23:5f,Level 3,-22.81444426,-43.24729267,02:11.0,02:11.0,38.12955
264,5100,22712,TPS2,5c:09:47:a9:e7:09,Level 3,-22.81425257,-43.24730762,02:12.4,02:12.4,34.24531667
265,5102,22718,TPS2,08:c5:e1:68:7a:86,Level 3,-22.81432299,-43.24724387,02:12.9,02:12.9,29.3985
267,5144,22898,TPS2,0c:2c:54:06:23:80,Level 3,-22.81442472,-43.2471358,02:22.7,02:22.7,98.53725
273,5246,23436,TPS2,38:f7:3d:97:3c:b9,Level 3,-22.8143641,-43.24751859,02:41.4,02:41.4,9.351466667
276,5295,23702,TPS2,6c:8d:c1:56:dc:9d,Level 3,-22.81420699,-43.24715758,02:50.3,02:50.3,60.72803333
278,5360,24056,TPS2,88:79:7e:38:29:ca,Level 3,-22.81430635,-43.24751563,03:02.3,03:02.3,123.4186667
280,5405,24250,TPS2,d4:63:c6:c9:e8:a3,Level 3,-22.81447437,-43.24726392,03:08.6,03:08.6,0
295,5714,25658,TPS2,e8:b4:c8:2c:ad:a6,Level 3,-22.81447036,-43.24749148,03:59.9,03:59.9,62.98715
299,5835,26110,TPS2,30:07:4d:1d:db:92,Level 3,-22.81425151,-43.24730833,04:18.8,04:18.8,1.67E-05
314,6141,27523,TPS2,28:83:35:62:8e:4d,Level 3,-22.81442393,-43.24722951,05:05.5,05:05.5,85.30588333
325,6395,28739,TPS2,80:b0:3d:bc:31:5b,Level 3,-22.8142945,-43.24732764,05:49.5,05:49.5,9.090566667
328,6490,29212,TPS2,bc:98:df:26:22:d3,Level 3,-22.81438637,-43.24719147,06:08.9,06:08.9,19.8925
332,6592,29649,TPS2,44:91:60:43:8c:78,Level 3,-22.81450875,-43.24752399,06:24.0,06:24.0,28.31853333
334,6627,29812,TPS2,cc:66:0a:79:70:1e,Level 3,-22.81428478,-43.24728837,06:28.4,06:28.4,1.7521
336,6672,30073,TPS2,38:9a:f6:fa:42:17,Level 3,-22.81418562,-43.24722866,06:38.9,06:38.9,67.59383333
337,6673,30077,TPS2,0c:cb:85:36:3d:05,Level 3,-22.81438124,-43.24738483,06:39.4,06:39.4,1.7236
340,6696,30217,TPS2,f0:0f:ec:74:d1:4f,Level 3,-22.81429654,-43.2472834,06:45.6,06:45.6,0
341,6703,30253,TPS2,9c:d3:5b:5d:e9:f4,Level 3,-22.81424007,-43.2473166,06:46.5,06:46.5,151.5493833
346,6846,30933,TPS2,f4:63:1f:97:38:2c,Level 3,-22.81424912,-43.24711919,07:14.2,07:14.2,0
347,6850,30947,TPS2,f8:27:93:c1:9f:d3,Level 3,-22.81449921,-43.24724819,07:14.9,07:14.9,200.2171833
350,6864,31025,TPS2,04:b1:67:9d:48:be,Level 3,-22.81436542,-43.24752199,07:16.4,07:16.4,21.33908333
351,6966,31433,TPS2,7c:8b:b5:41:00:5d,Level 3,-22.81424547,-43.24727116,07:29.7,07:29.7,9.5391
355,7023,31703,TPS2,80:58:f8:05:27:2a,Level 3,-22.81451011,-43.24751195,07:43.0,07:43.0,25.27773333
359,7054,31863,TPS2,d4:c9:4b:2d:49:03,Level 3,-22.81449656,-43.24738535,07:49.2,07:49.2,74.30841667
374,7276,32831,TPS2,00:c2:c6:cf:a5:da,Level 3,-22.8144172,-43.24738757,08:26.1,08:26.1,154.9228667
377,7379,33233,TPS2,c0:11:73:b9:61:86,Level 3,-22.81430201,-43.24742615,08:38.3,08:38.3,91.20871667
379,7384,33267,TPS2,a4:d1:d2:05:2e:5f,Level 3,-22.81425727,-43.24725485,08:38.9,08:38.9,180.0843333
381,7431,33485,TPS2,a8:db:03:27:ed:6f,Level 3,-22.8145142,-43.24712069,08:47.7,08:47.7,34.9907
385,7496,33805,TPS2,70:3c:69:6b:59:ab,Level 3,-22.81423868,-43.24720944,09:00.9,09:00.9,109.5614
399,7726,34809,TPS2,dc:35:f1:83:c7:a9,Level 3,-22.81446811,-43.24716135,09:33.2,09:33.2,89.79638333
406,7788,35111,TPS2,a8:db:03:68:1a:94,Level 3,-22.814482,-43.24749428,09:43.9,09:43.9,0
408,7838,35353,TPS2,18:f0:e4:d9:fa:59,Level 3,-22.81438451,-43.24712124,09:50.4,09:50.4,186.57535
414,7933,35745,TPS2,50:92:b9:8d:0e:04,Level 3,-22.81448807,-43.24714851,10:07.8,10:07.8,138.7680167
422,8036,36103,TPS2,18:65:90:35:07:23,Level 3,-22.81436813,-43.24744396,10:18.9,10:18.9,0.396666667
432,8188,36737,TPS2,d4:63:c6:a9:06:1a,Level 3,-22.81419306,-43.24728784,10:40.6,10:40.6,76.92973333
437,8233,36901,TPS2,6c:b7:49:aa:6c:ca,Level 3,-22.81447574,-43.2475093,10:45.6,10:45.6,0
446,8347,37361,TPS2,a8:db:03:0d:ee:fd,Level 3,-22.81450868,-43.2471881,11:00.1,11:00.1,1.67E-05
452,8453,37777,TPS2,44:91:60:70:44:aa,Level 3,-22.81446171,-43.24727972,11:17.8,11:17.8,41.51816667
454,8503,37989,TPS2,ac:0d:1b:b6:90:4c,Level 3,-22.81419491,-43.24714621,11:25.2,11:25.2,107.5363
463,8671,38731,TPS2,fc:64:3a:2f:6e:c6,Level 3,-22.81439177,-43.24736457,11:51.6,11:51.6,103.3651
471,8930,39815,TPS2,00:db:70:dd:90:e4,Level 3,-22.81426182,-43.24728324,12:32.5,12:32.5,100.1351
481,9154,40643,TPS2,a8:db:03:42:56:4e,Level 3,-22.81444443,-43.24753524,13:06.4,13:06.4,7.200933333
485,9341,41379,TPS2,a0:4e:a7:24:c8:ee,Level 3,-22.81448737,-43.2472878,13:32.5,13:32.5,0
495,9714,42781,TPS2,f0:c3:71:a0:1f:c1,Level 3,-22.81443319,-43.24755362,14:25.8,14:25.8,18.68666667
497,9717,42787,TPS2,04:d6:aa:fe:11:16,Level 3,-22.81431216,-43.24751899,14:26.1,14:26.1,0
511,10105,44455,TPS2,f0:d7:aa:9c:d3:20,Level 3,-22.81426339,-43.24729922,15:27.8,15:27.8,95.58335
514,10140,44577,TPS2,94:0e:6b:f9:9f:aa,Level 3,-22.81447413,-43.2472151,15:32.6,15:32.6,22.28925
516,10206,44833,TPS2,08:8c:2c:4b:a3:78,Level 3,-22.81425507,-43.24731704,15:47.5,15:47.5,28.3624
517,10233,44973,TPS2,70:fd:46:78:72:d2,Level 3,-22.81445767,-43.24734439,15:53.2,15:53.2,0
523,10355,45457,TPS2,64:89:f1:a9:28:4f,Level 3,-22.81432053,-43.24721079,16:11.6,16:11.6,123.0138333
526,10424,45715,TPS2,8c:25:05:82:29:9f,Level 3,-22.81428633,-43.24713428,16:24.8,16:24.8,11.69865
528,10442,45791,TPS2,98:b8:ba:24:5c:4e,Level 3,-22.81426928,-43.24746845,16:28.9,16:28.9,4.115466667
